col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,eval
8,6,5,4,6,6,5,5,3,0,19.94
8,6,5,4,6,6,5,6,6,0,35.45
4,2,1,0,2,2,1,2,2,0,27.54
4,3,4,0,2,2,1,2,2,0,18.65
4,3,4,4,2,2,1,2,2,0,31.54
4,3,4,4,4,4,1,2,2,0,28.31
4,3,4,4,4,4,5,2,2,0,31.63
4,3,4,4,4,4,5,5,3,0,28.56
5,5,5,4,4,4,5,5,3,0,28.63
7,7,5,4,4,4,5,5,3,0,26.56
7,7,6,6,5,4,5,5,3,0,27.33
7,7,6,6,5,4,5,5,7,0,37.49
7,7,6,6,6,7,5,5,7,0,35.08
7,7,6,6,6,7,7,7,7,0,40.37
7,7,7,8,7,7,7,7,7,0,38.5
3,3,3,4,3,3,3,3,3,0,31.5
4,5,4,4,3,3,3,3,3,0,29.5
4,5,4,4,3,3,4,4,5,0,30.71
4,5,4,5,5,4,4,4,5,0,33.68
0,1,0,1,1,0,0,0,1,0,27.76
0,1,2,2,2,0,0,0,1,0,29.13
0,1,2,2,2,0,2,2,1,0,24.58
0,1,2,2,3,3,2,2,1,0,26.11
2,3,2,2,3,3,2,2,1,0,28.66
2,3,5,3,3,3,2,2,1,0,25.94
5,4,5,3,3,3,2,2,1,0,28.47
5,4,5,3,3,3,3,3,3,0,30.36
6,7,5,3,3,3,3,3,3,0,20.7
8,9,11,11,7,4,4,3,3,0,13.02
8,9,11,11,11,4,4,3,3,0,12.79
8,9,11,11,11,4,4,5,5,0,21.92
4,5,7,7,7,0,0,1,1,0,17.28
4,5,7,7,7,3,1,1,1,0,13.6
4,5,7,7,7,5,4,2,3,0,15.78
4,5,9,8,8,5,4,2,3,0,3.72
4,5,9,8,8,9,4,2,3,0,1.63
4,5,9,9,10,10,4,2,3,0,-26.96
4,5,9,9,10,10,4,4,5,0,10.45
7,6,9,9,10,10,4,4,5,0,22.92
7,6,9,9,10,10,5,7,5,0,-12.21
3,2,5,5,6,6,1,3,1,0,-17.73
